epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16571.1,0.90571,0.91144,1.4417,0.89389,0.89967,0.96352,0.7416,1.07266,0.78154,1.43299,0.005842,0.005842,0.005842
44,16965.1,0.90107,0.91019,1.42817,0.92027,0.84437,0.95243,0.72662,1.01545,0.76955,1.37153,0.005743,0.005743,0.005743
45,17319.7,0.8984,0.89815,1.43361,0.86973,0.85329,0.94058,0.75658,0.98137,0.79235,1.33228,0.005644,0.005644,0.005644
46,17632.4,0.90682,0.9091,1.43625,0.90961,0.86521,0.93304,0.74627,0.98867,0.82843,1.34479,0.005545,0.005545,0.005545
47,18010,0.88921,0.89493,1.42759,0.89435,0.8024,0.88415,0.6709,1.17928,0.97727,1.56246,0.005446,0.005446,0.005446
48,18581.4,0.86482,0.8556,1.39668,0.90535,0.82983,0.93808,0.72809,0.94851,0.75507,1.32451,0.005347,0.005347,0.005347
49,19056.2,0.88691,0.87191,1.42011,0.90915,0.90339,0.9505,0.75382,1.00736,0.73895,1.34826,0.005248,0.005248,0.005248
50,19455.1,0.88178,0.87413,1.42013,0.87013,0.90905,0.94985,0.72973,0.9484,0.68391,1.30983,0.005149,0.005149,0.005149
51,19999,0.86751,0.85784,1.40741,0.81466,0.83883,0.88318,0.64671,1.09536,0.95721,1.51093,0.00505,0.00505,0.00505
52,20393.8,0.86688,0.85724,1.40801,0.8586,0.86053,0.91845,0.74349,0.97626,0.81062,1.37618,0.004951,0.004951,0.004951
53,20746.4,0.85055,0.83881,1.39667,0.93545,0.88164,0.94559,0.74632,0.95696,0.73916,1.31339,0.004852,0.004852,0.004852
54,21193.7,0.84927,0.83357,1.39145,0.94531,0.83807,0.95355,0.75191,0.92917,0.71201,1.30093,0.004753,0.004753,0.004753
55,21532.9,0.85556,0.85365,1.40011,0.8692,0.88817,0.90868,0.72575,0.89545,0.76022,1.26644,0.004654,0.004654,0.004654
56,21946.5,0.83679,0.81255,1.3779,0.85822,0.90486,0.9506,0.78399,0.90847,0.73303,1.3054,0.004555,0.004555,0.004555
57,22298,0.84943,0.83499,1.38787,0.9394,0.91174,0.96338,0.76579,0.94717,0.68415,1.31248,0.004456,0.004456,0.004456
58,22748.7,0.83904,0.82131,1.39373,0.81369,0.88205,0.91125,0.71106,0.93886,0.82562,1.32764,0.004357,0.004357,0.004357
59,23153.9,0.84214,0.82052,1.38303,0.90963,0.87404,0.94816,0.75393,0.94839,0.73001,1.35105,0.004258,0.004258,0.004258
60,23601.1,0.83017,0.82113,1.37556,0.92051,0.91571,0.96175,0.76352,0.98491,0.68471,1.35278,0.004159,0.004159,0.004159
61,23988.1,0.81501,0.80271,1.37317,0.83704,0.90149,0.95634,0.77087,0.9138,0.70462,1.2983,0.00406,0.00406,0.00406
62,24349.1,0.82563,0.80199,1.37706,0.81694,0.92194,0.94253,0.76591,0.91047,0.75022,1.30132,0.003961,0.003961,0.003961
63,24730.1,0.81959,0.80268,1.36948,0.82673,0.91864,0.94727,0.77139,0.90539,0.71815,1.31515,0.003862,0.003862,0.003862
64,25164.2,0.81496,0.79607,1.36256,0.85353,0.83781,0.91912,0.72083,0.97725,0.80232,1.37582,0.003763,0.003763,0.003763
65,25702.9,0.82593,0.80491,1.37589,0.90541,0.84297,0.92461,0.72689,0.99394,0.81341,1.38253,0.003664,0.003664,0.003664
66,26046.9,0.80016,0.75452,1.35177,0.90721,0.89584,0.95545,0.78758,0.8567,0.6683,1.28358,0.003565,0.003565,0.003565
67,26474,0.81355,0.78163,1.36253,0.92175,0.93246,0.95171,0.77872,0.89161,0.6585,1.2878,0.003466,0.003466,0.003466
68,27078.4,0.81449,0.76759,1.36161,0.92494,0.91316,0.96794,0.8023,0.87471,0.64548,1.25566,0.003367,0.003367,0.003367
69,27702.3,0.79994,0.76804,1.35029,0.89952,0.89718,0.93999,0.74633,0.98584,0.78713,1.34732,0.003268,0.003268,0.003268
70,28321.1,0.7947,0.7539,1.35242,0.88123,0.86499,0.91783,0.72088,0.95057,0.79307,1.30836,0.003169,0.003169,0.003169
71,28745.9,0.81256,0.7521,1.35167,0.91861,0.90191,0.95466,0.7587,0.95756,0.70673,1.34187,0.00307,0.00307,0.00307
72,29133.7,0.80287,0.76501,1.35708,0.89072,0.87508,0.95839,0.77503,0.89596,0.65899,1.27581,0.002971,0.002971,0.002971
73,29583.1,0.79238,0.74774,1.34322,0.921,0.90775,0.95744,0.79193,0.86159,0.70233,1.25476,0.002872,0.002872,0.002872
74,30007.1,0.78002,0.73733,1.33675,0.88077,0.88372,0.94945,0.78536,0.86879,0.65825,1.27632,0.002773,0.002773,0.002773
75,30490.7,0.78465,0.75003,1.34478,0.94057,0.88313,0.95241,0.79108,0.87386,0.69486,1.25268,0.002674,0.002674,0.002674
76,30830,0.78547,0.75148,1.3499,0.93536,0.86095,0.95699,0.78554,0.87356,0.64921,1.25587,0.002575,0.002575,0.002575
77,31232.4,0.77967,0.7314,1.33418,0.91318,0.90472,0.95571,0.77792,0.90178,0.68556,1.2858,0.002476,0.002476,0.002476
78,31663.9,0.76296,0.73675,1.32632,0.92595,0.9247,0.96158,0.77891,0.85967,0.613,1.23731,0.002377,0.002377,0.002377
