epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5792,0.93557,1.84609,1.4113,0.64164,0.57036,0.63032,0.40587,1.33381,1.8547,2.03529,0.000474679,0.000474679,0.000474679
2,92.0435,0.96398,1.40433,1.41738,0.77276,0.7014,0.7805,0.49317,1.19901,1.3635,1.7873,0.000944736,0.000944736,0.000944736
3,135.95,1.00437,1.29242,1.44759,0.60078,0.73982,0.71922,0.43774,1.30509,1.54789,1.75893,0.00140851,0.00140851,0.00140851
4,179.685,0.98441,1.19878,1.4242,0.77779,0.76622,0.84072,0.55936,1.1144,1.10746,1.58073,0.00140071,0.00140071,0.00140071
5,223.199,0.9675,1.1418,1.40635,0.83055,0.77197,0.84279,0.55194,1.19503,1.04688,1.69506,0.00139127,0.00139127,0.00139127
6,266.182,0.91356,1.03563,1.37923,0.81754,0.78281,0.84184,0.55221,1.13632,1.03786,1.56505,0.00138184,0.00138184,0.00138184
7,310.011,0.88505,1.00303,1.35446,0.81549,0.80627,0.86309,0.59793,1.03945,0.98682,1.48243,0.00137241,0.00137241,0.00137241
8,354.508,0.85071,0.94039,1.3355,0.88374,0.86278,0.9072,0.68302,0.91417,0.78375,1.35911,0.00136298,0.00136298,0.00136298
9,398.44,0.85645,0.92724,1.32845,0.85939,0.81854,0.91322,0.71519,0.81071,0.79624,1.25972,0.00135355,0.00135355,0.00135355
10,442.055,0.82694,0.87459,1.30854,0.86122,0.82487,0.90174,0.66942,0.92007,0.81676,1.38403,0.00134412,0.00134412,0.00134412
11,485.432,0.81647,0.85325,1.29482,0.87182,0.88417,0.92481,0.7056,0.85717,0.69676,1.28276,0.00133469,0.00133469,0.00133469
12,528.109,0.79679,0.81787,1.2811,0.90314,0.87018,0.91193,0.68804,0.91419,0.72714,1.3171,0.00132525,0.00132525,0.00132525
13,571.608,0.78997,0.82295,1.27993,0.88091,0.8344,0.91164,0.69859,0.85842,0.74543,1.28956,0.00131582,0.00131582,0.00131582
14,616.371,0.78969,0.79313,1.2714,0.85878,0.85127,0.91765,0.69702,0.8501,0.76374,1.31197,0.00130639,0.00130639,0.00130639
15,660.716,0.77806,0.77908,1.27419,0.89265,0.88313,0.93224,0.73502,0.77287,0.6441,1.22227,0.00129696,0.00129696,0.00129696
16,705.03,0.76147,0.76869,1.25653,0.89136,0.85325,0.9183,0.73159,0.76694,0.71981,1.22697,0.00128753,0.00128753,0.00128753
17,748.938,0.74794,0.75215,1.249,0.9387,0.86441,0.93317,0.71859,0.82869,0.65559,1.27136,0.0012781,0.0012781,0.0012781
18,792.914,0.7425,0.73827,1.24616,0.88843,0.88066,0.92735,0.74078,0.81186,0.68679,1.26094,0.00126867,0.00126867,0.00126867
19,837.594,0.72209,0.71241,1.23506,0.92022,0.8968,0.933,0.73309,0.75464,0.62231,1.22577,0.00125923,0.00125923,0.00125923
20,881.613,0.73002,0.71841,1.23592,0.90099,0.86675,0.92575,0.74824,0.70683,0.66491,1.16701,0.0012498,0.0012498,0.0012498
