epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,922.822,0.71561,0.74859,1.479,0.50002,0.63895,0.68491,0.45241,1.61855,1.97925,1.89961,0.002905,0.002905,0.002905
45,943.471,0.70657,0.75254,1.45953,0.43356,0.63513,0.6036,0.39411,1.82604,2.29131,2.07016,0.00274,0.00274,0.00274
46,964.03,0.69849,0.75813,1.45154,0.46938,0.63142,0.6492,0.4283,1.79957,2.21206,2.03109,0.002575,0.002575,0.002575
47,984.765,0.68525,0.71354,1.42227,0.47943,0.62376,0.68267,0.48581,1.64863,1.87286,1.9256,0.00241,0.00241,0.00241
48,1005.46,0.69618,0.71982,1.44056,0.42585,0.58541,0.62124,0.42383,1.63558,2.40817,1.91722,0.002245,0.002245,0.002245
49,1026.56,0.67491,0.71656,1.42856,0.64404,0.664,0.77356,0.54398,1.54036,1.56951,1.78028,0.00208,0.00208,0.00208
50,1047.44,0.67119,0.69665,1.42682,0.54146,0.62967,0.70736,0.48095,1.70305,1.97423,1.93425,0.001915,0.001915,0.001915
51,1089.81,0.66292,0.67053,1.40865,0.68582,0.55091,0.71672,0.47458,1.66055,1.779,1.90153,0.00175,0.00175,0.00175
52,1110.69,0.67325,0.65526,1.41104,0.62795,0.61045,0.72429,0.48908,1.59095,1.82072,1.86412,0.001585,0.001585,0.001585
53,1131.33,0.63272,0.62731,1.38277,0.50966,0.65933,0.68802,0.46656,1.64777,2.07751,1.92269,0.00142,0.00142,0.00142
54,1152.12,0.62985,0.61732,1.37482,0.58998,0.61987,0.70966,0.50102,1.59835,2.00961,1.85231,0.001255,0.001255,0.001255
55,1172.53,0.63141,0.60663,1.3658,0.53379,0.674,0.68388,0.47295,1.68362,2.0349,1.93367,0.00109,0.00109,0.00109
56,1192.88,0.62115,0.58733,1.36497,0.58589,0.63793,0.7185,0.5028,1.56271,1.92592,1.83824,0.000925,0.000925,0.000925
57,1213.22,0.6107,0.58258,1.35101,0.5543,0.63052,0.69992,0.48171,1.71329,2.04796,1.96754,0.00076,0.00076,0.00076
58,1234.19,0.62249,0.57205,1.36583,0.66652,0.64076,0.73228,0.51463,1.57285,1.82297,1.8463,0.000595,0.000595,0.000595
59,1255.19,0.60445,0.57123,1.35136,0.56342,0.64887,0.70304,0.48858,1.70003,1.91246,1.94257,0.00043,0.00043,0.00043
60,1276.25,0.60417,0.57617,1.3544,0.5512,0.66951,0.69878,0.49603,1.62404,1.95091,1.88172,0.000265,0.000265,0.000265
