epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.385,0.59146,0.41808,1.05324,0.94164,0.92635,0.96262,0.81703,0.6576,0.4439,1.06757,0.000475405,0.000475405,0.000475405
2,265.735,0.61991,0.43954,1.06511,0.92326,0.91315,0.9519,0.79557,0.6897,0.46909,1.08729,0.000939175,0.000939175,0.000939175
3,393.992,0.64206,0.46612,1.077,0.93802,0.91625,0.95055,0.78979,0.71653,0.49398,1.1172,0.00139037,0.00139037,0.00139037
4,508.582,0.66538,0.4978,1.09731,0.93118,0.91907,0.95439,0.78623,0.69966,0.49427,1.0918,0.00137241,0.00137241,0.00137241
5,643.444,0.67065,0.49922,1.09677,0.94304,0.92192,0.95635,0.79104,0.70818,0.48824,1.10626,0.00135355,0.00135355,0.00135355
6,764.841,0.66155,0.48843,1.08927,0.92158,0.91756,0.95256,0.787,0.712,0.50316,1.09501,0.00133469,0.00133469,0.00133469
7,855.557,0.65925,0.49174,1.0901,0.94447,0.91098,0.95038,0.78721,0.71664,0.49585,1.09514,0.00131582,0.00131582,0.00131582
8,933.533,0.65878,0.48659,1.08885,0.9027,0.92368,0.95181,0.79447,0.68645,0.49284,1.07583,0.00129696,0.00129696,0.00129696
9,1013.39,0.65316,0.48215,1.0865,0.92622,0.91525,0.94825,0.78884,0.70379,0.50105,1.0974,0.0012781,0.0012781,0.0012781
10,1096.85,0.65545,0.48317,1.08635,0.92119,0.91703,0.94664,0.78433,0.72081,0.51291,1.11646,0.00125923,0.00125923,0.00125923
11,1176.38,0.6464,0.47572,1.08183,0.93443,0.93398,0.95595,0.78943,0.69966,0.47801,1.10377,0.00124037,0.00124037,0.00124037
12,1254.91,0.64844,0.47515,1.08294,0.94531,0.92507,0.95341,0.78493,0.72532,0.48133,1.13076,0.00122151,0.00122151,0.00122151
13,1358.04,0.63859,0.46571,1.07496,0.95094,0.90985,0.9588,0.80126,0.69545,0.47899,1.09638,0.00120265,0.00120265,0.00120265
14,1485.22,0.64284,0.46171,1.07247,0.91247,0.9288,0.95519,0.79513,0.69992,0.47972,1.09556,0.00118378,0.00118378,0.00118378
15,1627.09,0.6326,0.46026,1.06956,0.92124,0.92314,0.9528,0.79242,0.69962,0.48063,1.10529,0.00116492,0.00116492,0.00116492
16,1712.32,0.64009,0.46609,1.07467,0.92594,0.9146,0.94554,0.78315,0.71364,0.49368,1.10579,0.00114606,0.00114606,0.00114606
17,1790.32,0.63038,0.45939,1.06973,0.93632,0.92167,0.95978,0.79665,0.69564,0.47452,1.0998,0.0011272,0.0011272,0.0011272
18,1868.58,0.63361,0.46543,1.07238,0.94106,0.91508,0.95686,0.79555,0.6903,0.46226,1.0878,0.00110833,0.00110833,0.00110833
19,1951.87,0.62317,0.45103,1.06182,0.9262,0.91695,0.95419,0.79865,0.68189,0.46523,1.07725,0.00108947,0.00108947,0.00108947
20,2029.95,0.61766,0.45304,1.06737,0.94035,0.92045,0.95249,0.79343,0.69567,0.47888,1.10052,0.00107061,0.00107061,0.00107061
21,2108.05,0.61768,0.44561,1.06251,0.93275,0.9307,0.95469,0.79403,0.69544,0.45617,1.09065,0.00105174,0.00105174,0.00105174
22,2186.27,0.61064,0.44379,1.063,0.93516,0.93441,0.96168,0.79566,0.68783,0.45971,1.09722,0.00103288,0.00103288,0.00103288
23,2271.62,0.61803,0.43861,1.05921,0.95442,0.91012,0.95483,0.8075,0.68058,0.45729,1.09305,0.00101402,0.00101402,0.00101402
24,2356.79,0.60914,0.43741,1.06018,0.9478,0.92835,0.96012,0.80343,0.6808,0.44342,1.09582,0.000995156,0.000995156,0.000995156
25,2439.66,0.60171,0.43861,1.05378,0.94945,0.93561,0.96431,0.80641,0.69298,0.4392,1.09328,0.000976293,0.000976293,0.000976293
26,2521.17,0.60162,0.43479,1.05483,0.93957,0.91528,0.95353,0.80867,0.67863,0.4524,1.08798,0.00095743,0.00095743,0.00095743
27,2603.89,0.6041,0.43254,1.05364,0.94797,0.91943,0.96129,0.80666,0.68305,0.44926,1.09393,0.000938567,0.000938567,0.000938567
28,2688.21,0.59623,0.42677,1.04859,0.94564,0.92812,0.96212,0.8063,0.70415,0.44524,1.09913,0.000919704,0.000919704,0.000919704
29,2773.37,0.59217,0.42593,1.04881,0.94568,0.92113,0.95961,0.80276,0.68285,0.45458,1.09065,0.000900842,0.000900842,0.000900842
30,2857.29,0.59335,0.41673,1.04973,0.92514,0.93922,0.95754,0.80606,0.6735,0.437,1.089,0.000881979,0.000881979,0.000881979
31,2942.12,0.58843,0.41784,1.04611,0.93958,0.93293,0.95939,0.80077,0.69022,0.45122,1.10723,0.000863116,0.000863116,0.000863116
32,3021.73,0.58242,0.41606,1.04214,0.93016,0.92933,0.9605,0.81194,0.67406,0.44379,1.08439,0.000844253,0.000844253,0.000844253
