epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2828,0.96621,2.32171,1.38998,0.72778,0.73029,0.77045,0.4941,1.06737,1.75558,1.45743,0.00332405,0.00332405,0.00332405
2,115.699,0.95948,1.57712,1.35672,0.76276,0.74034,0.76434,0.42312,1.362,1.70807,1.82949,0.00661344,0.00661344,0.00661344
3,170.331,1.02793,1.4791,1.41027,0.57493,0.51778,0.55047,0.30656,1.43984,1.89837,1.92796,0.00985884,0.00985884,0.00985884
4,224.672,1.08387,1.43016,1.44534,0.64058,0.58622,0.6226,0.37911,1.34001,1.68586,1.84044,0.009802,0.009802,0.009802
5,280.61,1.06918,1.31423,1.44665,0.69565,0.69315,0.72582,0.46628,1.30091,1.40879,1.75801,0.009736,0.009736,0.009736
6,337.349,1.03556,1.22292,1.41621,0.72764,0.70961,0.77067,0.46328,1.33144,1.2863,1.7566,0.00967,0.00967,0.00967
7,391.99,1.0072,1.13765,1.39922,0.80538,0.78087,0.82911,0.56329,1.12663,1.10455,1.59734,0.009604,0.009604,0.009604
8,446.701,0.98593,1.1011,1.37798,0.86585,0.76385,0.86407,0.59698,1.07538,0.98244,1.49997,0.009538,0.009538,0.009538
9,526.2,0.97802,1.03649,1.36692,0.86659,0.79801,0.86876,0.60112,1.0673,0.90687,1.4914,0.009472,0.009472,0.009472
10,580.884,0.94553,0.99596,1.35421,0.86131,0.80057,0.88527,0.6207,1.00103,0.95136,1.41189,0.009406,0.009406,0.009406
11,635.7,0.93762,0.97828,1.34465,0.88261,0.85747,0.91444,0.65052,1.00627,0.82744,1.36799,0.00934,0.00934,0.00934
12,690.548,0.92508,0.94272,1.33052,0.84187,0.84191,0.90149,0.64798,1.0109,0.8158,1.41754,0.009274,0.009274,0.009274
13,745.708,0.90267,0.91361,1.31699,0.85035,0.8198,0.8885,0.65983,0.92535,0.84432,1.35148,0.009208,0.009208,0.009208
14,802.834,0.88876,0.88832,1.30862,0.86208,0.85959,0.91244,0.66911,0.90504,0.78709,1.32179,0.009142,0.009142,0.009142
15,858.439,0.87709,0.86453,1.29461,0.9016,0.84056,0.90481,0.68125,0.90363,0.79101,1.31301,0.009076,0.009076,0.009076
16,913.125,0.87905,0.85738,1.29791,0.89827,0.84508,0.9028,0.69594,0.86374,0.75616,1.28091,0.00901,0.00901,0.00901
17,967.794,0.86505,0.82924,1.28286,0.85912,0.8825,0.90639,0.67696,0.89787,0.76394,1.2793,0.008944,0.008944,0.008944
18,1022.53,0.85205,0.81598,1.27528,0.89621,0.86486,0.91475,0.68643,0.90505,0.72958,1.32181,0.008878,0.008878,0.008878
19,1077.77,0.84279,0.80261,1.2643,0.89549,0.89468,0.92133,0.71365,0.83941,0.69199,1.2622,0.008812,0.008812,0.008812
20,1134.45,0.84002,0.80376,1.26935,0.89348,0.88704,0.93063,0.7237,0.84661,0.69898,1.24451,0.008746,0.008746,0.008746
21,1191.19,0.8196,0.76641,1.25422,0.90636,0.85852,0.92989,0.71592,0.85418,0.67367,1.26861,0.00868,0.00868,0.00868
22,1247.88,0.81494,0.76136,1.24988,0.92019,0.87,0.92447,0.71477,0.8468,0.69702,1.2693,0.008614,0.008614,0.008614
23,1304.78,0.80776,0.7457,1.24828,0.90032,0.87526,0.93115,0.72523,0.81596,0.63899,1.23784,0.008548,0.008548,0.008548
24,1361.62,0.80746,0.73854,1.24378,0.9318,0.89022,0.93526,0.73613,0.82306,0.62719,1.2363,0.008482,0.008482,0.008482
25,1418.42,0.79191,0.71739,1.23391,0.91765,0.87577,0.92917,0.72939,0.81331,0.64641,1.2563,0.008416,0.008416,0.008416
26,1474.49,0.7985,0.71904,1.23856,0.91077,0.86536,0.93088,0.7151,0.83113,0.65893,1.25118,0.00835,0.00835,0.00835
27,1529.26,0.78557,0.70891,1.23034,0.88921,0.86559,0.91862,0.72488,0.80066,0.64736,1.23486,0.008284,0.008284,0.008284
28,1583.96,0.77695,0.69105,1.22493,0.88823,0.88929,0.92621,0.73163,0.80353,0.64605,1.2434,0.008218,0.008218,0.008218
29,1638.54,0.77653,0.70055,1.22399,0.86758,0.8803,0.92562,0.73685,0.81456,0.63714,1.23049,0.008152,0.008152,0.008152
30,1693.58,0.7725,0.68711,1.22264,0.92163,0.88403,0.94403,0.76196,0.74671,0.57543,1.16963,0.008086,0.008086,0.008086
31,1749.02,0.75903,0.66382,1.20624,0.91087,0.8855,0.93205,0.75223,0.7644,0.59892,1.19496,0.00802,0.00802,0.00802
32,1805,0.76267,0.68035,1.21749,0.91922,0.8952,0.94265,0.77058,0.74933,0.58907,1.18022,0.007954,0.007954,0.007954
33,1859.58,0.7598,0.66289,1.20851,0.92994,0.87379,0.93194,0.75558,0.73645,0.60002,1.17556,0.007888,0.007888,0.007888
34,1914.53,0.74801,0.64955,1.20248,0.89646,0.90557,0.93154,0.74669,0.77503,0.61944,1.19501,0.007822,0.007822,0.007822
35,1969.43,0.75416,0.65485,1.20229,0.91855,0.90382,0.93533,0.76294,0.75141,0.56614,1.17814,0.007756,0.007756,0.007756
36,2024.13,0.73764,0.64257,1.1969,0.92499,0.90071,0.94286,0.76341,0.7377,0.54907,1.1682,0.00769,0.00769,0.00769
37,2080.72,0.73631,0.63478,1.18877,0.92595,0.91558,0.94011,0.7563,0.75972,0.56719,1.19179,0.007624,0.007624,0.007624
38,2137.62,0.72959,0.63203,1.19082,0.90543,0.90678,0.93931,0.75834,0.73763,0.58955,1.173,0.007558,0.007558,0.007558
39,2194.84,0.72021,0.63451,1.18632,0.93321,0.90429,0.94482,0.76286,0.71871,0.55735,1.16542,0.007492,0.007492,0.007492
40,2251.48,0.7245,0.61883,1.18011,0.93268,0.87999,0.93829,0.76922,0.74316,0.57569,1.17348,0.007426,0.007426,0.007426
41,2308.15,0.7221,0.61789,1.18809,0.91765,0.88543,0.94218,0.7688,0.75098,0.58586,1.17742,0.00736,0.00736,0.00736
42,2364.65,0.7145,0.61096,1.17652,0.9244,0.91681,0.94152,0.76801,0.74393,0.55537,1.1837,0.007294,0.007294,0.007294
43,2421.61,0.70595,0.59981,1.17085,0.9217,0.90557,0.94408,0.77514,0.71928,0.56136,1.15666,0.007228,0.007228,0.007228
44,2478.24,0.71272,0.59797,1.17689,0.93716,0.9072,0.94801,0.77041,0.74438,0.54632,1.18083,0.007162,0.007162,0.007162
45,2534.63,0.69463,0.57434,1.15892,0.93004,0.89982,0.94334,0.77591,0.71392,0.56357,1.14708,0.007096,0.007096,0.007096
46,2591.58,0.7048,0.59256,1.17088,0.92578,0.91334,0.94651,0.7636,0.74331,0.53765,1.17008,0.00703,0.00703,0.00703
47,2648.46,0.70886,0.60057,1.17394,0.93305,0.91942,0.95455,0.78442,0.72303,0.53547,1.16155,0.006964,0.006964,0.006964
48,2704.61,0.68935,0.57333,1.15744,0.94182,0.91514,0.95068,0.78051,0.72954,0.52698,1.151,0.006898,0.006898,0.006898
49,2760.97,0.68833,0.58155,1.16209,0.93657,0.90461,0.9519,0.77977,0.7153,0.52724,1.13243,0.006832,0.006832,0.006832
50,2817.53,0.68981,0.5699,1.16048,0.90536,0.90751,0.94007,0.7758,0.74818,0.55489,1.18566,0.006766,0.006766,0.006766
51,2873.68,0.69622,0.57675,1.16229,0.94748,0.8969,0.94304,0.76765,0.73015,0.54407,1.16028,0.0067,0.0067,0.0067
52,2929.93,0.68494,0.56975,1.15985,0.92951,0.90641,0.95078,0.78511,0.72187,0.52403,1.16111,0.006634,0.006634,0.006634
53,2986.91,0.67315,0.55764,1.15085,0.93632,0.91157,0.9495,0.77914,0.7363,0.52026,1.18105,0.006568,0.006568,0.006568
54,3043.43,0.67508,0.55865,1.15436,0.93511,0.9042,0.95437,0.78693,0.72043,0.53912,1.1337,0.006502,0.006502,0.006502
55,3100.16,0.67355,0.55419,1.15352,0.92388,0.91234,0.95362,0.79582,0.70134,0.49811,1.13436,0.006436,0.006436,0.006436
56,3156.8,0.67577,0.56699,1.15134,0.93673,0.90406,0.9552,0.7905,0.70432,0.49541,1.14831,0.00637,0.00637,0.00637
